RA	DEC	MAG	DIST	B-V
16.46423982	4.90971755	7.36	44.07	0.484
16.50800326	-22.45289221	10.29	44.80	1.078
16.55221696	13.25278682	8.28	47.98	0.656
16.60872175	-14.29618780	9.63	49.98	0.907
16.67323507	15.27341418	11.48	22.10	1.473
16.69573127	-50.98947181	8.98	29.43	0.925
16.77560068	63.94055066	9.08	15.05	1.289
16.79562046	-1.73208324	7.13	49.31	0.560
16.80665675	-32.42929737	10.76	28.69	1.396
16.81787190	-63.39462832	11.13	48.69	1.540
16.85136635	69.87942742	10.72	47.60	1.009
16.88291179	-41.74654669	7.13	33.73	0.567
16.90753784	22.95617138	8.54	20.75	1.122
16.94216802	-9.78559168	5.81	47.69	0.446
16.98795829	20.73932115	5.61	49.43	0.121
16.99501278	39.25253121	7.91	37.33	0.621
16.99825172	1.99409389	6.60	46.45	0.847
17.00501793	32.01219214	6.32	41.89	0.398
17.05096881	21.97712274	7.75	32.43	0.710
17.05383776	54.92422766	5.29	7.55	0.704
17.09309979	5.65022130	5.59	35.92	0.334
17.14693197	-10.18192800	3.62	36.06	1.161
17.16831270	17.24402032	10.65	27.79	1.256
17.19028697	-25.86120192	8.77	35.30	0.837
17.24086217	-30.92902482	9.25	46.36	0.764
17.30128688	-24.68920246	12.29	21.69	1.530
17.41214932	-7.17945503	11.45	37.58	1.435
17.48587624	-64.35923278	8.93	49.48	0.672
17.59293817	-67.44634604	9.81	8.14	1.568
17.67511529	42.93231721	7.80	26.78	0.730
17.69608830	-66.18786313	8.20	35.88	0.849
17.72594414	9.56332494	7.35	39.60	0.568
17.77471116	55.14994765	4.39	42.14	0.170
17.88374424	-12.84291544	7.60	40.57	0.589
17.89174195	32.52195180	10.47	37.37	0.000
17.91494471	30.08972962	4.68	49.73	1.092
18.08000516	12.28194637	6.99	33.74	0.494
18.12423811	-9.22368841	7.88	45.43	0.687
18.12459256	-17.00053959	11.96	3.72	1.850
18.13099835	0.98162503	8.87	32.13	0.931
18.19186846	-25.23562704	9.66	22.03	1.267
18.27426204	41.65439442	7.39	44.72	0.770
18.29028373	19.71274868	11.35	41.68	0.000
18.32891358	-1.86194506	9.09	46.06	0.685
18.43250986	7.57548895	5.28	45.27	0.320
